value,adsh,fp,fy
193080000,0001437749-19-017513,FY,2019
195522000,0001437749-19-017513,FY,2019
193771000,0001437749-19-017513,FY,2019
209206000,0001437749-19-017513,FY,2019
791579000,0001437749-19-017513,FY,2019
28306696,0000897101-19-000806,FY,2019
31299750,0000897101-19-000806,FY,2019
8407088,0001493152-19-013379,FY,2018
9261910,0001493152-19-013379,FY,2018
207023000,0001437749-19-017436,FY,2019
51818000,0001437749-19-017436,FY,2019
52124000,0001437749-19-017436,FY,2019
54834000,0001437749-19-017436,FY,2019
57552000,0001437749-19-017436,FY,2019
216328000,0001437749-19-017436,FY,2019
51901000,0001437749-19-017436,FY,2019
56532000,0001437749-19-017436,FY,2019
58498000,0001437749-19-017436,FY,2019
61091000,0001437749-19-017436,FY,2019
228022000,0001437749-19-017436,FY,2019
3346,0001376474-19-000225,FY,2019
2918,0001376474-19-000225,FY,2019
241874000,0001377789-19-000061,FY,2019
56182000,0001377789-19-000061,FY,2019
61723000,0001377789-19-000061,FY,2019
62093000,0001377789-19-000061,FY,2019
62508000,0001377789-19-000061,FY,2019
242506000,0001377789-19-000061,FY,2019
60504000,0001377789-19-000061,FY,2019
65088000,0001377789-19-000061,FY,2019
54037000,0001377789-19-000061,FY,2019
64229000,0001377789-19-000061,FY,2019
243858000,0001377789-19-000061,FY,2019
NULL,0001262463-19-000296,FY,2019
NULL,0001262463-19-000296,FY,2019
NULL,0001558891-19-000066,FY,2019
NULL,0001558891-19-000066,FY,2019
NULL,0001607062-19-000354,FY,2019
NULL,0001607062-19-000354,FY,2019
888670,0001213900-19-017066,FY,2018
10463135,0001213900-19-017066,FY,2018
393185,0001213900-19-017133,FY,2018
223783,0001213900-19-017133,FY,2018
0,0001078782-19-000697,FY,2018
0,0001078782-19-000697,FY,2018
3009824,0001721716-19-000063,FY,2018
3413392,0001721716-19-000063,FY,2018
910000000,0000896878-19-000132,FY,2019
1339000000,0000896878-19-000132,FY,2019
2912000000,0000896878-19-000132,FY,2019
864000000,0000896878-19-000132,FY,2019
6025000000,0000896878-19-000132,FY,2019
1016000000,0000896878-19-000132,FY,2019
1502000000,0000896878-19-000132,FY,2019
3272000000,0000896878-19-000132,FY,2019
994000000,0000896878-19-000132,FY,2019
6784000000,0000896878-19-000132,FY,2019
5196000000,0000896878-19-000132,FY,2019
9362459,0001654954-19-010129,FY,2019
8479855,0001654954-19-010129,FY,2019
2353331,0001683168-19-002785,FY,2019
6476442,0001683168-19-002785,FY,2019
46504,0001683168-19-002776,FY,2019
864779,0001683168-19-002776,FY,2019
0,0001185185-19-001214,FY,2019
8459048,0001185185-19-001214,FY,2019
106476,0001161697-19-000356,FY,2019
114671,0001161697-19-000356,FY,2019
NULL,0001483798-19-000141,FY,2018
NULL,0001483798-19-000141,FY,2018
NULL,0001483798-19-000133,FY,2017
NULL,0001483798-19-000133,FY,2017
NULL,0001493152-19-013507,FY,2019
NULL,0001493152-19-013507,FY,2019
NULL,0001493152-19-013507,FY,2019
NULL,0001493152-19-013507,FY,2019
64989995,0001213900-19-016899,FY,2019
63340028,0001213900-19-016899,FY,2019
2736000000,0001631825-19-000028,FY,2019
731200000,0001631825-19-000028,FY,2019
649300000,0001631825-19-000028,FY,2019
653400000,0001631825-19-000028,FY,2019
731300000,0001631825-19-000028,FY,2019
2765200000,0001631825-19-000028,FY,2019
749900000,0001631825-19-000028,FY,2019
767800000,0001631825-19-000028,FY,2019
705200000,0001631825-19-000028,FY,2019
803200000,0001631825-19-000028,FY,2019
3026100000,0001631825-19-000028,FY,2019
3404334,0001493152-19-013488,FY,2019
5564185,0001513162-19-000194,FY,2019
5200682,0001513162-19-000194,FY,2019
467797000,0000719733-19-000063,FY,2019
109217000,0000719733-19-000063,FY,2019
111725000,0000719733-19-000063,FY,2019
108352000,0000719733-19-000063,FY,2019
117028000,0000719733-19-000063,FY,2019
446322000,0000719733-19-000063,FY,2019
127472000,0000719733-19-000063,FY,2019
123037000,0000719733-19-000063,FY,2019
107954000,0000719733-19-000063,FY,2019
105581000,0000719733-19-000063,FY,2019
464044000,0000719733-19-000063,FY,2019
22036278,0001654954-19-010672,FY,2019
21169608,0001654954-19-010672,FY,2019
32525471,0001654954-19-010669,FY,2019
33749088,0001654954-19-010669,FY,2019
NULL,0001213900-19-017859,FY,2019
50000,0001213900-19-017859,FY,2019
54000,0001213900-19-017859,FY,2019
1606,0001165527-19-000156,FY,2019
100,0001165527-19-000156,FY,2019
349818,0001214659-19-005833,FY,2018
472052,0001214659-19-005833,FY,2018
45580000,0001683168-19-002888,FY,2019
46890000,0001683168-19-002888,FY,2019
22465000,0001553350-19-000942,FY,2019
27172000,0001553350-19-000942,FY,2019
6554939,0001213900-19-017723,FY,2019
9275386,0001213900-19-017723,FY,2019
NULL,0001493152-19-013918,FY,2018
NULL,0001493152-19-013918,FY,2018
100000,0001654954-19-010473,FY,2018
135000,0001654954-19-010473,FY,2018
35213,0001213900-19-017440,FY,2018
305403,0001213900-19-017440,FY,2018
2456033,0001731122-19-000540,FY,2018
2416726,0001731122-19-000540,FY,2018
7280723,0001213900-19-017267,FY,2019
8323845,0001213900-19-017267,FY,2019
12439132,0001213900-19-017267,FY,2019
8636126,0001213900-19-017267,FY,2019
36679826,0001213900-19-017267,FY,2019
9361164,0001213900-19-017267,FY,2019
10176453,0001213900-19-017267,FY,2019
9556590,0001213900-19-017267,FY,2019
9754284,0001213900-19-017267,FY,2019
38848491,0001213900-19-017267,FY,2019
525000,0001213900-19-017267,FY,2019
0,0001213900-19-017267,FY,2019
87466000,0001437749-19-018000,FY,2019
