cik,adsh,Income/OperationsCash,Income/FinancingCash,Income/Investing,Assets,LiabilitiesAndStockholdersEquity,StockholdersEquity,NetIncomeLoss,sic,debt_ratio
1800,0001047469-18-000856,5.263910969793323,1.6277363336186865,-4.241979536097183,56721000000.0,64458000000.0,25717500000.0,743363636.3636364,2834.0,0.6830010049188131
1800,0001047469-19-000624,7.219284633216468,-2.167270149625457,-5.374829971071134,65001000000.0,71711500000.0,30710500000.0,695960000.0,2834.0,0.630774911155213
1961,0001264931-19-000040,-1.9553302752767612,0.9486430122373932,3.9898162821043277,2015173.5,2015173.5,-3441430.6666666665,628994.25,7372.0,2.7077589927947474
2034,0001144204-18-051414,-1.1369190544794834,-1.162119556517563,1.8792110067905057,910904500.0,910904500.0,263448750.0,-52247636.36363637,5122.0,0.7107833477603854
2098,0001026608-18-000010,3.450582634288485,4.13529424209273,-5.854292729228384,103397949.0,103397949.0,46413966.666666664,1980547.7,3420.0,0.5511132753061991
2098,0001026608-19-000011,2.6837283346364504,1.9818457832280756,-4.0154407244492925,112103796.0,112103796.0,49463583.333333336,1730082.9,3420.0,0.5587697732079177
2178,0000002178-19-000011,50.3866273352999,-9.239724680432646,-21.33254670599803,281426000.0,280787000.0,149384750.0,423750.0,5172.0,0.4669158144592184
2186,0001654954-18-002205,-9.00213447171825,6.505869797225187,-0.14834578441835647,42672500.0,42672500.0,34200333.333333336,-468500.0,3663.0,0.19853926221024462
2186,0001654954-19-002033,-0.7856582046584664,2.056006281078252,-1.3640408270086364,41357000.0,40996000.0,31831000.0,-1910500.0,3663.0,0.22160698309838722
2488,0000002488-18-000042,0.15901360544217688,-0.3460884353741497,-0.701530612244898,3408600000.0,3430500000.0,200500000.0,-142545454.54545453,3674.0,0.947603121516165
2488,0000002488-19-000011,-5.46236559139785,-5.032258064516129,-2.2795698924731185,4054000000.0,4054000000.0,497250000.0,-7750000.0,3674.0,0.8773433645781944
3116,0001628280-18-002518,5.573265643521117,-1.5661535342192276,-1.6937659866491983,1925563250.0,1941615500.0,657075250.0,42744000.0,2834.0,0.6670984450913259
3116,0001628280-19-002359,-4.3327020043649505,2.982427313548905,2.9175927551865137,1702384000.0,1702384000.0,678965000.0,-26575333.333333332,2834.0,0.6011681265801371
3197,0001564590-19-006619,-2.0286346344690704,2.6262404895798874,-0.7482633145881575,415565500.0,415565500.0,182564500.0,-16122666.666666666,3564.0,0.5606841761407046
3453,0001558370-18-001004,3.1552023385402395,-1.2068146524161871,-3.3230108705581434,1977600000.0,2131500000.0,496875000.0,66345454.54545455,4400.0,0.8265700849514563
3453,0001558370-19-001448,4.06294069620723,0.8924515698062793,-5.555873652066037,2341000000.0,2323120000.0,608728571.4285715,52395000.0,4400.0,0.7323329468481113
3499,0000003499-19-000004,4.10616180786322,-2.0585802725208393,-2.7385853411521306,1556826000.0,1556826000.0,333693000.0,26609115.384615384,6798.0,0.7856581274978707
3545,0000003545-18-000108,20.060860169591052,-12.966269701453973,-0.17363117468818265,420595333.3333333,421302000.0,166379000.0,1290090.9090909092,100.0,0.6061004005433568
3570,0000003570-18-000031,-0.42312423124231247,-17.54858548585486,18.177121771217713,26224800000.0,25804500000.0,-1580000000.0,-271000000.0,4924.0,1.0442215002592965
3570,0000003570-19-000030,-49.52967032967033,-176.72087912087915,201.2835164835165,30626666666.666668,29946500000.0,-1145000000.0,-18958333.333333332,4924.0,1.0151774053112754
4187,0000897101-19-000205,0.9871621621621621,-1.4013513513513514,0.06418918918918919,21977333.333333332,22103000.0,11515000.0,-740000.0,5090.0,0.4817690954316569
4281,0000004281-19-000031,-15.166666666666666,143.16666666666666,-137.55555555555557,18708000000.0,18705500000.0,5241500000.0,-6000000.0,3350.0,0.7196921103271328
4447,0001564590-18-002698,-0.2805760820389081,-0.27296033780726886,0.3723420298597496,27243750000.0,25866500000.0,12792500000.0,-4420666666.666667,2911.0,0.47988988300068824
4447,0001564590-19-003671,-0.3603360913347444,0.11998375130951618,0.1965236354306972,22272500000.0,22272500000.0,10340000000.0,-3897750000.0,2911.0,0.5357503647996408
4457,0000004457-18-000016,1.8115485742618629,0.3749856973268304,-1.9899797855552535,9584631375.0,10076412500.0,3014226000.0,559336000.0,7510.0,0.7368240074856296
4457,0000004457-19-000024,1.9227472308201288,0.47476117834744047,-2.35358397296537,10698099250.0,11319567500.0,3550548500.0,515360166.6666667,7510.0,0.7262055453448892
4904,0000004904-18-000009,2.8303602355386217,0.37305161066851406,-3.207222029788708,16826948000.0,14895568750.0,10033425000.0,192466666.66666666,4911.0,0.2889498291668816
4977,0000004977-18-000054,1.9284401796651693,-0.5993262556145366,-1.4478358513679053,125270500000.0,133518000000.0,20929333333.333332,3265333333.3333335,6321.0,0.8987644071562473
4977,0000004977-19-000049,1.7803201414121574,-0.520475301973878,-1.2636747520377098,139343000000.0,138811500000.0,22847333333.333332,3394333333.3333335,6321.0,0.8322209703154566
5272,0000005272-18-000022,-0.8038906931732441,10.856050913623987,-10.246694879112948,288407333333.3333,277443750000.0,52871625000.0,-508050000.0,6331.0,0.7786630194331629
5272,0000005272-19-000023,1.2544961377439707,3.4601096762780825,-5.032725986202017,495142500000.0,495142500000.0,60766000000.0,-1130600000.0,6331.0,0.8772757337534144
5513,0000005513-18-000016,2.76466806547556,-1.301747098178016,-1.4824265801948442,63125271428.57143,62977300000.0,9068933333.333334,428936363.6363636,6321.0,0.8539902553554319
5513,0000005513-19-000004,3.3117069907845442,-1.4696555381112302,-1.8584271687859788,62588100000.0,62944350000.0,9054900000.0,384716000.0,6321.0,0.861017509718301
5981,0001564590-19-007329,3.963393755878616,0.6816306661606245,-5.418474942657713,574255333.3333334,564589500.0,317145000.0,8080133.333333333,2870.0,0.43089630280606883
6201,0000006201-18-000009,3.823154761904762,-0.7198015873015873,-3.2559126984126987,51355333333.333336,51335000000.0,3841750000.0,1527272727.2727273,4512.0,0.9247968403151895
6201,0000006201-19-000009,6.779231826212132,-1.699731728063862,-5.180723679905778,56682500000.0,56682500000.0,1100500000.0,727761904.7619047,4512.0,0.9805848365897764
6207,0001144204-18-039152,76.36850152905198,-75.22538226299693,-2.076452599388379,106270500.0,106270500.0,84761333.33333333,93428.57142857143,2721.0,0.202400164360445
6207,0001144204-19-036278,0.8409885172241638,1.561158262606091,0.08237643534697954,103377500.0,103377500.0,88044500.0,667666.6666666666,2721.0,0.14832047592561243
6281,0000006281-18-000126,1.5847961729437758,1.0360003955446113,-2.6424591203023,20680284000.0,20795536500.0,10575040000.0,1028118333.3333334,3674.0,0.4942145136884967
6494,0001206774-18-000959,1.6893198640666922,0.33711202783799826,-0.18686385110309772,2832759.0,2832759.0,1418898.3333333333,-1203678.5,3663.0,0.4991108197579345
6494,0001206774-19-001153,1.2116317640371652,-0.042213814399294086,0.006759927750532556,1737462.5,1737462.5,427589.0,-1049419.5,3663.0,0.753900300006475
6885,0000006885-18-000135,-5.0013523341970085,-1.0114459748170372,5.910668666757579,796697500.0,796697500.0,407489250.0,-13332727.272727273,5651.0,0.4885270130758538
6885,0000006885-19-000109,0.07150416809957585,-0.7094060158193175,0.9067129463012282,775283500.0,775283500.0,326266333.3333333,-62518500.0,5651.0,0.5791651269073399
6951,0000006951-18-000041,2.5619191587249426,-2.1975900974915104,-1.0746237265856062,19007500000.0,18596000000.0,7754500000.0,1383181818.1818182,3674.0,0.5703801131132448
7039,0000007039-18-000003,3.87986776788771,0.7495970272737648,-4.844352676024193,312589200.0,308905000.0,174404500.0,8497454.545454545,2911.0,0.4302787812246872
7039,0000007039-19-000030,-3.583761246779424,-0.9826530905416818,5.358170086215135,695222702.2857143,649565750.0,401576750.0,-6971969.795454546,2911.0,0.35670440448028473
7332,0000007332-18-000016,-0.5160084511620348,-0.12026653664878921,0.4960182025028442,7658000000.0,7298500000.0,2460000000.0,-2051000000.0,1311.0,0.6318229302689997
7332,0000007332-19-000010,-4.990865026099926,2.7929716629381063,1.868475018642804,6798000000.0,6659000000.0,1656538461.5384614,-188210526.31578946,1311.0,0.7358725416977844
7431,0001564590-18-003128,1.1970596550749224,-0.746112524738479,-0.4882668928470455,1827300000.0,1815750000.0,525900000.0,117900000.0,3089.0,0.7058775242160564
7431,0001564590-19-003978,0.9345209961825123,-1.3595103920499303,0.5778343331515482,1873500000.0,1873500000.0,428925000.0,137525000.0,3089.0,0.7710568454763811
7536,0001666359-18-000002,1.3692805440418379,0.5549044738803266,-1.502183921542783,15108943200.0,15710661333.333334,4772172000.0,276281272.72727275,5065.0,0.7239744824332475
7536,0001733391-19-000005,1.0378152207859477,0.5597284831773067,-1.0453453279606342,17342719000.0,17342719000.0,5099549000.0,243112962.96296296,5065.0,0.7059544699997734
7623,0001437749-18-001906,-1.2728424615046687,1.5666008383450312,-0.19823707551410155,25811211.5,25811211.5,17329059.666666668,-1229207.5,3523.0,0.3286227705093708
7623,0001437749-19-001882,0.07388818791783332,0.19244511774820894,-0.05530472535436525,22852653.5,22852653.5,15501462.666666666,-2511991.5,3523.0,0.32167777948995435
7789,0000007789-18-000013,2.267511439064222,4.639870581170823,-7.418921434224774,30035501000.0,29811454500.0,3016563000.0,205946333.33333334,6022.0,0.8921073598872215
7789,0000007789-19-000014,2.112735670008783,2.9612721111448166,-4.540620501735645,32382153000.0,32065726500.0,3261722250.0,251856400.0,6022.0,0.8895024444483355
8146,0001193125-19-102788,0.9763928851687156,0.054911064608945855,-1.6493329845670939,120648000.0,120648000.0,67833000.0,4247777.777777778,3577.0,0.4377610901133877
8177,0001140361-18-015001,0.5513679508654383,-0.40773310999441653,1.102177554438861,330919500.0,330919500.0,106993666.66666667,3582000.0,6311.0,0.6766776612841894
8177,0001140361-19-006219,4.751778242677824,-0.7994246861924686,-3.7118200836820083,343756500.0,343756500.0,106620333.33333333,1912000.0,6311.0,0.689837622464351
8328,0001437749-18-007034,0.5366279917221981,-0.3096411993189842,-0.03236978042681313,4701851.5,4701851.5,-27084418.0,-4510086.2,1400.0,6.760372908417035
